Text,URL
Nunavut,https://en.wikipedia.org/wiki/Nunavut
Quebec,https://en.wikipedia.org/wiki/Quebec
Northwest Territories,https://en.wikipedia.org/wiki/Northwest_Territories
Ontario,https://en.wikipedia.org/wiki/Ontario
British Columbia,https://en.wikipedia.org/wiki/British_Columbia
Alberta,https://en.wikipedia.org/wiki/Alberta
Saskatchewan,https://en.wikipedia.org/wiki/Saskatchewan
Manitoba,https://en.wikipedia.org/wiki/Manitoba
Yukon,https://en.wikipedia.org/wiki/Yukon
Newfoundland and Labrodor,https://en.wikipedia.org/wiki/Newfoundland_and_Labrador
New Brunswick,https://en.wikipedia.org/wiki/New_Brunswick
Nova Scotia,https://en.wikipedia.org/wiki/Nova_Scotia
Prince Edward Island,https://en.wikipedia.org/wiki/Prince_Edward_Island
