Text,URL
University of Calgary,https://en.wikipedia.org/wiki/University_of_Alberta
University of Calgary,https://en.wikipedia.org/wiki/University_of_Alberta
Simon Fraser University,https://en.wikipedia.org/wiki/Simon_Fraser_University
University of British Columbia,https://en.wikipedia.org/wiki/University_of_British_Columbia
University of Manitoba,https://en.wikipedia.org/wiki/University_of_Manitoba
University of Winnipeg,https://en.wikipedia.org/wiki/University_of_Winnipeg
Dalhousie University,https://en.wikipedia.org/wiki/Dalhousie_University
Carleton University,https://en.wikipedia.org/wiki/Carleton_University
University of Ottawa,https://en.wikipedia.org/wiki/University_of_Ottawa
University of Toronto,https://en.wikipedia.org/wiki/University_of_Toronto
York University,https://en.wikipedia.org/wiki/York_University
